,Venue,Venue Latitude,Venue Longitude,Venue Category
160,Dum Pukth,19.10406987143994,72.86982150430973,Indian Restaurant
163,Gurukripa,19.11686555161323,72.88930157762846,Indian Restaurant
164,TFB,19.106159052044173,72.88467114306954,Fast Food Restaurant
166,Benzys,19.120164868254616,72.88009965676395,Indian Restaurant
168,Naaz Hotel,19.084781503065777,72.8892339015137,Indian Restaurant
172,Sandwizzaa,19.08070030358886,72.84041405733342,Sandwich Place
177,Joss,19.085573692737334,72.83469121072112,Japanese Restaurant
178,Spirit Kitchen & Bar,19.106812165160576,72.88116503339843,Indian Restaurant
179,Barbeque Nation,19.107612906758266,72.88402422433657,BBQ Joint
182,Cafe Mangii,19.12026013177446,72.90705213863036,Italian Restaurant
183,Estella,19.090822204938927,72.82710681607999,Australian Restaurant
184,Namak,19.09561883482252,72.85395589295454,Indian Restaurant
185,Subway,19.100888273706282,72.83939996185501,Sandwich Place
187,Masala Library,19.068930524673345,72.86973766149534,Indian Restaurant
188,Mad Over Donuts,19.092991778695207,72.8561778814391,Donut Shop
190,Romano's,19.103115186318856,72.87740772320647,Italian Restaurant
191,Cafe Arfa,19.12893009094341,72.84714004510111,Indian Restaurant
192,Global Fusion China Gate Restaurant,19.123717670772518,72.86990283382454,Asian Restaurant
193,Celini,19.076830763570356,72.8517335581244,Italian Restaurant
194,Chakra Restaurant & Bar,19.1034718702735,72.88620503396372,Indian Restaurant
195,Mirchi And Mime,19.120019581790373,72.90744773182578,North Indian Restaurant
197,Curry Twist,19.10326444705734,72.88622571373216,Vegetarian / Vegan Restaurant
271,Fusion Wong's,19.109716658861412,72.82446353523873,Chinese Restaurant
275,Sampan,19.108804770372586,72.82392234696351,Chinese Restaurant
276,Saffron,19.10177106938794,72.82563404993581,Indian Restaurant
278,Chaicoffi,19.13340026526733,72.81168601055077,Café
280,Krispy Kreme,19.10579965436154,72.82651671800781,Donut Shop
281,Temple Flower Restaurant,19.1068789826273,72.82633724757417,Asian Restaurant
291,Juhu Chowpatty,19.09814509190406,72.8270523359565,Snack Place
